Brewery name,City,State,Alex
Tin Barn,Chester,NY,3/23/2024
The Post,Lafayette,CO,4/21/2024
300 Suns,Longmont,CO,6/7/2024
Great Frontier,Lakewood,CO,6/22/2024
Trails End,Coeur d'Alene,ID,7/13/2024
Tres Litros,Saliva,CO,8/2/2024
Wanderment,Denver,CO,8/25/2024
Mighty Squirrel,Boston,MA,10/4/2024
Lookout Farms,Newton,MA,10/5/2024
Montclair,Montclair,NJ,12/28/2024
Wild Air,Asbury Park,NJ,12/30/2024
Milieu,Aurora,CO,2/8/2025
Danico,Aurora,CO,3/16/2025
Figurehead,Seattle,WA,3/27/2025
Talea,New York,NY,4/29/2025
Torch and Crown,New York,NY,4/30/2025
Side Project,Maplewood,MO,6/5/2025
2nd Shift,St Louis,MO,6/6/2025
